id,level,lesson,topic,type,component,content,romanized,english_translation,choices
1,Beginner,1,greetings,multiple_choice,vocabulary,"{""Hola""}","{""Hola""}","{""hello""}","{""hello"", ""good morning"", ""good afternoon"", ""good evening""}"
2,Beginner,1,greetings,multiple_choice,vocabulary,"{""Buenos días""}","{""Buenos días""}","{""good morning""}","{""hello"", ""good morning"", ""good afternoon"", ""good evening""}"
3,Beginner,1,greetings,multiple_choice,vocabulary,"{""Buenas tardes""}","{""Buenas tardes""}","{""good afternoon""}","{""hello"", ""how are you?"", ""good afternoon"", ""good evening""}"
4,Beginner,1,greetings,multiple_choice,vocabulary,"{""Buenas noches""}","{""Buenas noches""}","{""good evening""}","{""hello"", ""how are you?"", ""good afternoon"", ""good evening""}"
5,Beginner,1,greetings,multiple_choice,vocabulary,"{""¿cómo estás?""}","{""¿cómo estás?""}","{""how are you?""}","{""hello"", ""how are you?"", ""good afternoon"", ""good evening""}"
6,Beginner,1,greetings,text_entry,grammar,"{""Hola, ¿cómo estás?""}","{""Hola, ¿cómo estás?""}","{""Hello, how are you?""}","{""Hola, ¿cómo estás?""}"
7,Beginner,1,greetings,text_entry,grammar,"{""Buenos dias, Fernando""}","{""Buenos dias, Fernando""}","{""Good morning, Fernando""}","{""Buenos dias, Fernando""}"
8,Beginner,2,numbers_age,matching_type,vocabulary,"{""cero"", ""uno"", ""dos"", ""tres"", ""cuatro"", ""cinco"", ""seis"", ""ocho"", ""nueve""}","{""cero"", ""uno"", ""dos"", ""tres"", ""cuatro"", ""cinco"", ""seis"", ""ocho"", ""nueve""}","{""zero"", ""one"", ""two"", ""three"", ""four"", ""five"", ""six"", ""seven"", ""eight"", ""nine""}","{""eight"", ""one"", ""three"", ""four"", ""two"", ""seven"", ""six"", ""zero"", ""nine"", ""five""}"
9,Beginner,2,numbers_age,matching_type,vocabulary,"{""diez"", ""once"", ""doce"", ""trece"", ""catorce"", ""quince"", ""dieciséis"", ""diecisiete"", ""dieciocho"", ""diecinueve""}","{""diez"", ""once"", ""doce"", ""trece"", ""catorce"", ""quince"", ""dieciséis"", ""diecisiete"", ""dieciocho"", ""diecinueve""}","{""ten"", ""eleven"", ""twelve"", ""thirteen"", ""fourteen"", ""fifteen"", ""sixteen"", ""seventeen"", ""eighteen"", ""nineteen""}","{""seventeen"", ""thirteen"", ""ten"", ""fifteen"", ""eleven"", ""eighteen"", ""fourteen"", ""nineteen"", ""sixteen"", ""twelve""}"
10,Beginner,2,numbers_age,matching_type,vocabulary,"{""veinte"", ""treinta"", ""cuarenta"", ""cincuenta"", ""sesenta"", ""setenta"", ""ochenta"", ""noventa""}","{""veinte"", ""treinta"", ""cuarenta"", ""cincuenta"", ""sesenta"", ""setenta"", ""ochenta"", ""noventa""}","{""twenty"", ""thirty"", ""fourty"", ""fifty"", ""sixty"", ""seventy"", ""eighty"", ""ninety""}","{""thirty"", ""twenty"", ""ninety"", ""fifty"", ""sixty"", ""seventy"", ""fourty"", ""eighty""}"
11,Beginner,2,numbers_age,matching_type,vocabulary,"{""veintisiete"", ""treinta y dos"", ""sesenta y nueve"", ""noventa y cinco"", ""cincuenta y uno""}","{""veintisiete"", ""treinta y dos"", ""sesenta y nueve"", ""noventa y cinco"", ""cincuenta y uno""}","{""twenty seven"", ""thirty two"", ""sixty nine"", ""ninety five"", ""fifty one""}","{""thirty two"", ""fifty one"", ""twenty seven"", ""ninety five"", ""sixty nine""}"
12,Beginner,2,numbers_age,multiple_choice,vocabulary,"{""Tengo dieciocho años""}","{""Tengo dieciocho años""}","{""I am eighteen years old""}","{""I am twenty years old"", ""I am fifteen years old"", ""I am eighteen years old""}"
13,Beginner,2,numbers_age,text_entry,vocabulary,"{""Tengo ___________ años""}","{""Tengo ___________ años""}","{""I am twenty seven years old""}","{""veintisiete""}"
14,Beginner,3,colors,matching_type,vocabulary,"{""rojo"", ""azul"", ""verde""}","{""rojo"", ""azul"", ""verde""}","{""red"", ""blue"", ""green""}","{""green"", ""red"", ""blue""}"
15,Beginner,3,colors,matching_type,vocabulary,"{""amarillo"", ""negro"", ""blanco""}","{""amarillo"", ""negro"", ""blanco""}","{""yellow"", ""black"", ""white""}","{""white"", ""yellow"", ""black""}"
16,Beginner,3,colors,multiple_choice,vocabulary,"{""El cielo es azul""}","{""El cielo es azul""}","{""The sky is blue""}","{""The sky is red"", ""The sky is blue"", ""The sky is green""}"
17,Beginner,3,colors,multiple_choice,vocabulary,"{""Mi camisa es roja""}","{""Mi camisa es roja""}","{""My shirt is red""}","{""My shirt is red"", ""My shirt is green"", ""My shirt is yellow""}"
18,Beginner,3,colors,text_entry,vocabulary,"{""El auto es ____""}","{""El auto es ____""}","{""The car is black""}","{""negro""}"
19,Beginner,3,colors,text_entry,vocabulary,"{""La flor es ____""}","{""La flor es ____""}","{""The flower is yellow""}","{""amarillo""}"
20,Beginner,4,family,matching_type,vocabulary,"{""madre"", ""padre"", ""hermano""}","{""madre"", ""padre"", ""hermano""}","{""mother"", ""father"", ""brother""}","{""brother"", ""father"", ""mother""}"
21,Beginner,4,family,matching_type,vocabulary,"{""hermana"", ""abuelo"", ""abuela""}","{""hermana"", ""abuelo"", ""abuela""}","{""sister"", ""grandfather"", ""grandmother""}","{""grandmother"", ""sister"", ""grandfather""}"
22,Beginner,4,family,multiple_choice,vocabulary,"{""Mi madre es amable""}","{""Mi madre es amable""}","{""My mother is kind""}","{""My mother is kind"", ""My father is kind"", ""My sister is kind""}"
23,Beginner,4,family,multiple_choice,vocabulary,"{""Tengo dos hermanas""}","{""Tengo dos hermanas""}","{""I have two sisters""}","{""I have two brothers"", ""I have one sister"", ""I have two sisters""}"
24,Beginner,4,family,text_entry,vocabulary,"{""Mi ____ es alto""}","{""Mi ____ es alto""}","{""My father is tall""}","{""padre""}"
25,Beginner,4,family,text_entry,vocabulary,"{""Mi ____ es llama Juan""}","{""Mi ____ es llama Juan""}","{""My brother’s name is Juan""}","{""hermano""}"
26,Beginner,5,food,matching_type,vocabulary,"{""manzana"", ""pan"", ""agua""}","{""manzana"", ""pan"", ""agua""}","{""apple"", ""bread"", ""water""}","{""water"", ""apple"", ""bread""}"
27,Beginner,5,food,matching_type,vocabulary,"{""carne"", ""leche"", ""arroz""}","{""carne"", ""leche"", ""arroz""}","{""meat"", ""milk"", ""rice""}","{""milk"", ""rice"", ""meat""}"
28,Beginner,5,food,multiple_choice,vocabulary,"{""La manzana es dulce""}","{""La manzana es dulce""}","{""The apple is sweet""}","{""The apple is salty"", ""The apple is sweet"", ""The apple is bitter""}"
29,Beginner,5,food,multiple_choice,vocabulary,"{""Bebo agua todos los días""}","{""Bebo agua todos los días""}","{""I drink water every day""}","{""I drink milk every day"", ""I drink juice every day"", ""I drink water every day""}"
30,Beginner,5,food,text_entry,vocabulary,"{""Como ____ todos los días""}","{""Como ____ todos los días""}","{""I eat rice every day""}","{""arroz""}"
31,Beginner,5,food,text_entry,vocabulary,"{""Bebo ____ por la mañana""}","{""Bebo ____ por la mañana""}","{""I drink milk in the morning""}","{""leche""}"
32,Intermediate,1,daily_routines_past,matching_type,vocabulary,"{""ayer"", ""normalmente"", ""antes""}","{""ayer"", ""normalmente"", ""antes""}","{""yesterday"", ""normally"", ""before""}","{""before"", ""normally"", ""yesterday""}"
33,Intermediate,1,daily_routines_past,matching_type,vocabulary,"{""me levanté"", ""trabajé"", ""estudiaba""}","{""me levanté"", ""trabajé"", ""estudiaba""}","{""I got up"", ""I worked"", ""I used to study""}","{""I used to study"", ""I got up"", ""I worked""}"
34,Intermediate,1,daily_routines_past,multiple_choice,vocabulary,"{""Ayer trabajé hasta las seis""}","{""Ayer trabajé hasta las seis""}","{""Yesterday I worked until six""}","{""Yesterday I worked until six"", ""Yesterday I studied until six"", ""Yesterday I slept until six""}"
35,Intermediate,1,daily_routines_past,multiple_choice,vocabulary,"{""Antes estudiaba todos los días""}","{""Antes estudiaba todos los días""}","{""I used to study every day""}","{""I studied only yesterday"", ""I used to study every day"", ""I will study every day""}"
36,Intermediate,1,daily_routines_past,text_entry,vocabulary,"{""Ayer ____ muy temprano""}","{""Ayer ____ muy temprano""}","{""Yesterday I got up very early""}","{""me levanté""}"
37,Intermediate,1,daily_routines_past,text_entry,vocabulary,"{""Antes ____ en una oficina""}","{""Antes ____ en una oficina""}","{""I used to work in an office""}","{""trabajaba""}"
38,Intermediate,2,travel_plans_future,matching_type,vocabulary,"{""viajaré"", ""visitaré"", ""saldré""}","{""viajaré"", ""visitaré"", ""saldré""}","{""I will travel"", ""I will visit"", ""I will leave""}","{""I will visit"", ""I will leave"", ""I will travel""}"
39,Intermediate,2,travel_plans_future,matching_type,vocabulary,"{""voy a viajar"", ""voy a comer"", ""voy a descansar""}","{""voy a viajar"", ""voy a comer"", ""voy a descansar""}","{""I’m going to travel"", ""I’m going to eat"", ""I’m going to rest""}","{""I’m going to rest"", ""I’m going to travel"", ""I’m going to eat""}"
40,Intermediate,2,travel_plans_future,multiple_choice,vocabulary,"{""Mañana viajaré a Barcelona""}","{""Mañana viajaré a Barcelona""}","{""Tomorrow I will travel to Barcelona""}","{""Tomorrow I will travel to Barcelona"", ""Tomorrow I traveled to Barcelona"", ""Tomorrow I am traveling in the past""}"
41,Intermediate,2,travel_plans_future,multiple_choice,vocabulary,"{""El sábado voy a visitar a mis amigos""}","{""El sábado voy a visitar a mis amigos""}","{""On Saturday I’m going to visit my friends""}","{""On Saturday I visited my friends"", ""On Saturday I’m going to visit my friends"", ""On Saturday I used to visit my friends""}"
42,Intermediate,2,travel_plans_future,text_entry,vocabulary,"{""Mañana ____ a las ocho""}","{""Mañana ____ a las ocho""}","{""Tomorrow I will leave at eight""}","{""saldré""}"
43,Intermediate,2,travel_plans_future,text_entry,vocabulary,"{""El próximo mes voy a ____""}","{""El próximo mes voy a ____""}","{""Next month I’m going to travel""}","{""viajar""}"
44,Intermediate,3,opinions_connectors,matching_type,vocabulary,"{""porque"", ""aunque"", ""sin embargo""}","{""porque"", ""aunque"", ""sin embargo""}","{""because"", ""although"", ""however""}","{""however"", ""because"", ""although""}"
45,Intermediate,3,opinions_connectors,matching_type,vocabulary,"{""además"", ""en mi opinión"", ""creo que""}","{""además"", ""en mi opinión"", ""creo que""}","{""in addition"", ""in my opinion"", ""I believe that""}","{""I believe that"", ""in addition"", ""in my opinion""}"
46,Intermediate,3,opinions_connectors,multiple_choice,vocabulary,"{""Me gusta este lugar porque es tranquilo""}","{""Me gusta este lugar porque es tranquilo""}","{""I like this place because it is quiet""}","{""I like this place although it is quiet"", ""I like this place because it is quiet"", ""I like this place however it is quiet""}"
47,Intermediate,3,opinions_connectors,multiple_choice,vocabulary,"{""Creo que es una buena idea""}","{""Creo que es una buena idea""}","{""I think it is a good idea""}","{""I think it is a good idea"", ""I thought it was a bad idea"", ""I will think about the idea""}"
48,Intermediate,3,opinions_connectors,text_entry,vocabulary,"{""En mi opinión, ____ es importante""}","{""En mi opinión, ____ es importante""}","{""In my opinion, education is important""}","{""la educación""}"
49,Intermediate,3,opinions_connectors,text_entry,vocabulary,"{""Me gusta viajar, ____ a veces es cansado""}","{""Me gusta viajar, ____ a veces es cansado""}","{""I like traveling, however it is sometimes tiring""}","{""sin embargo""}"
50,Intermediate,4,health_symptoms,matching_type,vocabulary,"{""dolor de cabeza"", ""tos"", ""fiebre""}","{""dolor de cabeza"", ""tos"", ""fiebre""}","{""headache"", ""cough"", ""fever""}","{""cough"", ""fever"", ""headache""}"
51,Intermediate,4,health_symptoms,matching_type,vocabulary,"{""mareado"", ""cansado"", ""enfermo""}","{""mareado"", ""cansado"", ""enfermo""}","{""dizzy"", ""tired"", ""sick""}","{""tired"", ""sick"", ""dizzy""}"
52,Intermediate,4,health_symptoms,multiple_choice,vocabulary,"{""Tengo fiebre desde ayer""}","{""Tengo fiebre desde ayer""}","{""I’ve had a fever since yesterday""}","{""I’ve had a fever since yesterday"", ""I had a headache last year"", ""I will have a fever tomorrow""}"
53,Intermediate,4,health_symptoms,multiple_choice,vocabulary,"{""Me duele la garganta""}","{""Me duele la garganta""}","{""My throat hurts""}","{""My throat hurts"", ""My head hurts"", ""My leg hurts""}"
54,Intermediate,4,health_symptoms,text_entry,vocabulary,"{""Estoy ____ porque dormí poco""}","{""Estoy ____ porque dormí poco""}","{""I am tired because I slept little""}","{""cansado""}"
55,Intermediate,4,health_symptoms,text_entry,vocabulary,"{""El médico dijo que tengo ____""}","{""El médico dijo que tengo ____""}","{""The doctor said I have a fever""}","{""fiebre""}"
56,Intermediate,5,restaurant,matching_type,vocabulary,"{""la cuenta"", ""el menú"", ""el camarero""}","{""la cuenta"", ""el menú"", ""el camarero""}","{""the bill"", ""the menu"", ""the waiter""}","{""the menu"", ""the waiter"", ""the bill""}"
57,Intermediate,5,restaurant,matching_type,vocabulary,"{""quisiera"", ""recomendar"", ""pedir""}","{""quisiera"", ""recomendar"", ""pedir""}","{""I would like"", ""to recommend"", ""to order""}","{""to order"", ""I would like"", ""to recommend""}"
58,Intermediate,5,restaurant,multiple_choice,vocabulary,"{""Quisiera una mesa para dos""}","{""Quisiera una mesa para dos""}","{""I would like a table for two""}","{""I would like a table for two"", ""I have a table for two"", ""I will clean a table for two""}"
59,Intermediate,5,restaurant,multiple_choice,vocabulary,"{""¿Puede recomendarme un plato?""}","{""¿Puede recomendarme un plato?""}","{""Can you recommend a dish?""}","{""Can you recommend a dish?"", ""Can you bring me the bill?"", ""Can you call the waiter?""}"
60,Intermediate,5,restaurant,text_entry,vocabulary,"{""Quisiera ____ por favor""}","{""Quisiera ____ por favor""}","{""I would like water please""}","{""agua""}"
61,Intermediate,5,restaurant,text_entry,vocabulary,"{""¿Me trae ____?""}","{""¿Me trae ____?""}","{""Can you bring me the menu?""}","{""el menú""}"
62,advanced,1,complex_subjunctive_usage,matching_type,grammar_usage,"{""aunque"", ""para que"", ""cuando""}","{""aunque"", ""para que"", ""cuando""}","{""although"", ""so that"", ""when""}","{""so that"", ""when"", ""although""}"
63,advanced,1,complex_subjunctive_usage,matching_type,grammar_usage,"{""es posible que"", ""dudo que"", ""ojalá que""}","{""es posible que"", ""dudo que"", ""ojalá que""}","{""it's possible that"", ""I doubt that"", ""I hope that""}","{""I hope that"", ""it's possible that"", ""I doubt that""}"
64,advanced,1,complex_subjunctive_usage,multiple_choice,discourse,"{""Es posible que él llegue tarde""}","{""Es posible que él llegue tarde""}","{""It’s possible that he may arrive late""}","{""It’s possible that he may arrive late"", ""He definitely arrives late"", ""He arrived late yesterday""}"
65,advanced,1,complex_subjunctive_usage,error_correction,grammar_usage,"{""Espero que vienes mañana""}","{""Espero que vienes mañana""}","{""I hope you come tomorrow""}","{""Espero que vengas mañana""}"
66,advanced,1,complex_subjunctive_usage,paraphrasing,grammar_usage,"{""Ojalá que podamos terminar hoy""}","{""Ojalá que podamos terminar hoy""}","{""I hope we can finish today""}","{""Espero que logremos terminar hoy""}"
67,advanced,1,complex_subjunctive_usage,text_entry,writing,"{""Es importante que ____ preparado""}","{""Es importante que ____ preparado""}","{""It is important that you be prepared""}","{""estés""}"
68,advanced,2,formal_arguments_connectors,matching_type,discourse,"{""sin embargo"", ""por lo tanto"", ""no obstante""}","{""sin embargo"", ""por lo tanto"", ""no obstante""}","{""however"", ""therefore"", ""nevertheless""}","{""therefore"", ""nevertheless"", ""however""}"
69,advanced,2,formal_arguments_connectors,matching_type,discourse,"{""en consecuencia"", ""a pesar de"", ""además""}","{""en consecuencia"", ""a pesar de"", ""además""}","{""as a result"", ""despite"", ""furthermore""}","{""despite"", ""furthermore"", ""as a result""}"
70,advanced,2,formal_arguments_connectors,multiple_choice,discourse,"{""No estudié; por lo tanto, suspendí el examen""}","{""No estudié; por lo tanto, suspendí el examen""}","{""I didn’t study; therefore, I failed the exam""}","{""I didn’t study; therefore, I failed the exam"", ""I studied; however, I failed the exam"", ""I didn’t study; nevertheless, I passed""}"
71,advanced,2,formal_arguments_connectors,error_correction,grammar_usage,"{""No estudié, sin embargo pasé el examen""}","{""No estudié, sin embargo pasé el examen""}","{""I didn’t study, however I passed the exam""}","{""No estudié; sin embargo, pasé el examen""}"
72,advanced,2,formal_arguments_connectors,paraphrasing,discourse,"{""A pesar de las dificultades, logramos terminar""}","{""A pesar de las dificultades, logramos terminar""}","{""Despite the difficulties, we managed to finish""}","{""Aunque hubo dificultades, pudimos terminar""}"
73,advanced,2,formal_arguments_connectors,text_entry,writing,"{""Necesitamos más datos; ____, no podemos concluir nada""}","{""Necesitamos más datos; ____, no podemos concluir nada""}","{""We need more data; therefore we cannot conclude anything""}","{""por lo tanto""}"
74,advanced,3,narration_past_tenses_mix,matching_type,grammar_usage,"{""había salido"", ""caminaba"", ""llegué""}","{""había salido"", ""caminaba"", ""llegué""}","{""I had left"", ""I was walking"", ""I arrived""}","{""I arrived"", ""I was walking"", ""I had left""}"
75,advanced,3,narration_past_tenses_mix,matching_type,grammar_usage,"{""había dicho"", ""estaba lloviendo"", ""pasó""}","{""había dicho"", ""estaba lloviendo"", ""pasó""}","{""he had said"", ""it was raining"", ""it happened""}","{""it happened"", ""he had said"", ""it was raining""}"
76,advanced,3,narration_past_tenses_mix,multiple_choice,reading,"{""Cuando llegué a casa, mi hermano ya había salido""}","{""Cuando llegué a casa, mi hermano ya había salido""}","{""When I arrived home, my brother had already left""}","{""He had already left"", ""He left after I arrived"", ""He was leaving when I arrived""}"
77,advanced,3,narration_past_tenses_mix,error_correction,grammar_usage,"{""Mientras cociné, ella llamó""}","{""Mientras cociné, ella llamó""}","{""While I cooked, she called""}","{""Mientras cocinaba, ella llamó""}"
78,advanced,3,narration_past_tenses_mix,paraphrasing,discourse,"{""Había terminado el trabajo antes de que tú llegaras""}","{""Había terminado el trabajo antes de que tú llegaras""}","{""I had finished the work before you arrived""}","{""Ya había completado el trabajo cuando llegaste""}"
79,advanced,3,narration_past_tenses_mix,text_entry,writing,"{""Cuando ____ al restaurante, ya habían cerrado""}","{""Cuando ____ al restaurante, ya habían cerrado""}","{""When I arrived at the restaurant, they had already closed""}","{""llegué""}"
80,advanced,4,hypothetical_structures_si_clauses,matching_type,grammar_usage,"{""si tuviera"", ""si hubiera tenido"", ""iría""}","{""si tuviera"", ""si hubiera tenido"", ""iría""}","{""if I had"", ""if I had had"", ""I would go""}","{""I would go"", ""if I had had"", ""if I had""}"
81,advanced,4,hypothetical_structures_si_clauses,matching_type,grammar_usage,"{""habría venido"", ""si supiera"", ""si hubieras llegado""}","{""habría venido"", ""si supiera"", ""si hubieras llegado""}","{""I would have come"", ""if I knew"", ""if you had arrived""}","{""if I knew"", ""if you had arrived"", ""I would have come""}"
82,advanced,4,hypothetical_structures_si_clauses,multiple_choice,grammar_usage,"{""Si tuviera más tiempo, viajaría por el mundo""}","{""Si tuviera más tiempo, viajaría por el mundo""}","{""If I had more time, I would travel the world""}","{""If I had more time, I would travel the world"", ""If I have more time, I travel the world"", ""If I had more time, I traveled the world""}"
83,advanced,4,hypothetical_structures_si_clauses,error_correction,grammar_usage,"{""Si sabía la respuesta, te lo diría""}","{""Si sabía la respuesta, te lo diría""}","{""If I knew the answer, I would tell you""}","{""Si supiera la respuesta, te lo diría""}"
84,advanced,4,hypothetical_structures_si_clauses,paraphrasing,discourse,"{""Si hubieras estudiado, habrías aprobado""}","{""Si hubieras estudiado, habrías aprobado""}","{""If you had studied, you would have passed""}","{""Habrías pasado el examen si hubieras estudiado""}"
85,advanced,4,hypothetical_structures_si_clauses,text_entry,writing,"{""Si ____ dinero, compraría una casa""}","{""Si ____ dinero, compraría una casa""}","{""If I had money, I would buy a house""}","{""tuviera""}"
86,advanced,5,formal_wiriting_opinions,matching_type,discourse,"{""es esencial que"", ""es aconsejable que"", ""es probable que""}","{""es esencial que"", ""es aconsejable que"", ""es probable que""}","{""it is essential that"", ""it is advisable that"", ""it is likely that""}","{""it is advisable that"", ""it is likely that"", ""it is essential that""}"
87,advanced,5,formal_wiriting_opinions,matching_type,discourse,"{""por consiguiente"", ""en resumen"", ""por otro lado""}","{""por consiguiente"", ""en resumen"", ""por otro lado""}","{""consequently"", ""in summary"", ""on the other hand""}","{""on the other hand"", ""consequently"", ""in summary""}"
88,advanced,5,formal_wiriting_opinions,multiple_choice,reading,"{""Es esencial que la sociedad proteja el medio ambiente""}","{""Es esencial que la sociedad proteja el medio ambiente""}","{""It is essential that society protects the environment""}","{""It is essential that society protects the environment"", ""It is essential that society protected the environment"", ""It is essential for the society to protect me""}"
89,advanced,5,formal_wiriting_opinions,error_correction,grammar_usage,"{""Es importante que la gente entiende el problema""}","{""Es importante que la gente entiende el problema""}","{""It is important that people understand the problem""}","{""Es importante que la gente entienda el problema""}"
90,advanced,5,formal_wiriting_opinions,paraphrasing,discourse,"{""En resumen, debemos considerar todas las perspectivas""}","{""En resumen, debemos considerar todas las perspectivas""}","{""In summary, we must consider all perspectives""}","{""Para concluir, es necesario tener en cuenta todos los puntos de vista""}"
91,advanced,5,formal_wiriting_opinions,text_entry,writing,"{""Es recomendable que ____ su postura con ejemplos""}","{""Es recomendable que ____ su postura con ejemplos""}","{""It is advisable that you support your position with examples""}","{""apoye""}"
